DiasParaEleicaoBR,DiasParaEleicaoUSA,Selic_Delta_21d,Fed_Delta_63d,Selic_Delta_63d,Spread_BR_US,Spread_BR_US_Delta_21d,MACD_Signal,WTI_Retorno_63d_lag3,Classe
0.47077727,0.18660691,0.0006506738,-0.04169755,0.019332908,0.013009509,-0.20346522,-0.21500745,0.08789689,Venda
0.45415637,0.18918334,0.0018434926,-0.041533373,0.024467966,0.012446693,-0.20758452,-0.19899291,0.0683807,Venda
0.43730432,0.19152986,0.0014942358,-0.043551955,0.01974129,0.012171204,-0.21271206,-0.20887369,0.036194917,Venda
0.49073708,0.19829576,0.0020353817,-0.041754793,0.020623412,0.01233865,-0.22192752,-0.1960201,0.09150949,Venda
0.4745849,0.16119787,0.0014911668,-0.05285067,0.017223101,0.011397238,-0.20609368,-0.19956253,-0.045380536,Venda
0.4574017,0.17090014,0.0026722213,-0.0664069,0.018532246,0.010855363,-0.22875959,-0.2301842,0.20911302,Venda
0.5614039,0.22530665,-0.004170588,-0.039697368,0.009386456,0.026577286,-0.0041936995,-0.124919765,0.20635459,Venda
0.5960886,0.24484219,-0.0052864645,-0.021304937,0.01439841,0.025228681,-0.0061705797,-0.084943034,-0.020916212,Venda
0.608896,0.25203243,-0.005146953,-0.018643584,0.013750534,0.028595878,-0.0053702737,-0.08489216,-0.033716958,Venda
0.5472881,0.15123038,-0.006866081,-0.020367831,0.006155527,0.021453306,-0.003918613,-0.031755038,-0.016461069,Venda
0.63605416,0.15427725,-0.0072030635,-0.019447893,0.0045381864,0.025901133,0.00013388766,0.050569948,-0.013188836,Venda
0.6121249,0.14987029,-0.0072414405,-0.016420502,0.0043038256,0.02636293,-0.004443806,0.014417368,-0.027839972,Venda
0.034568924,0.20169479,-0.011279898,0.040326167,-0.0025205675,0.059806995,-0.027106931,0.13282347,0.17496343,Venda
-0.020982211,0.19761989,-0.012004105,0.052136086,-0.0010545144,0.056768373,-0.030134661,0.15372168,0.08993158,Venda
0.04448574,0.21865694,-0.011619639,0.043028906,-0.012284136,0.041655574,-0.0315038,0.11291585,0.1710565,Venda
0.059089914,0.182983,-0.0033012647,-0.003947344,0.009890342,0.010788914,-0.10680625,-0.008902483,0.21597196,Venda
0.0030226253,0.17562813,-0.0044768304,0.015283978,0.017533856,0.022522952,-0.11936238,-0.07836371,0.12912463,Venda
-0.15409058,0.15560243,-0.0026074671,0.024165152,0.016791377,0.02647177,-0.12384772,-0.033889912,-0.136572,Venda
-0.12136127,0.15945809,-0.0037234654,0.0051908763,0.01614119,0.025588645,-0.12907542,-0.077366665,0.079651594,Venda
-0.21107577,0.15982555,-0.0026575332,0.0058170864,0.018784586,0.029256992,-0.12288501,-0.04649473,-0.102429576,Venda
-0.05353494,0.16112486,-0.0021014558,0.0041446616,0.019355606,0.02657752,-0.132375,-0.06913725,0.12950416,Venda
-0.07267142,0.16673294,-0.0037373682,0.0027889784,0.01604382,0.022843836,-0.1188133,-0.05418608,0.11688248,Venda
